State,Age Group,Gender,Race,Total Cost,IP Actual Cost,OP Actual Cost,Prescribed Drugs,Hospice Benefits,Federally Qualified Health Center,Rehabilative Services,Home Health Services,Year
United States,0-18,Male,NonHispanic_White,4206345432,2613338021,852765768.1,1649544359,146904037.4,314026977.7,261553541.9,291140016.2,2015
United States,0-18,Male,AfricanAmerican,828275721,514595025.2,167918967.4,324813443.3,28927022.16,61835368.86,51502771.7,57328674.2,2015
United States,0-18,Male,Hispanic,1206499021,749579371.4,244597378.2,473136048.2,42136239.23,90071832.51,75020964.73,83507203.66,2015
United States,0-18,Male,Asian,365944556.9,227355750.9,74189102.2,143507419.8,12780389.48,27319787.46,22754692.06,25328662.6,2015
United States,0-18,Male,AmericanIndian,43394940.12,26960611.95,8797594.025,17017593.98,1515541.7,3239672.564,2698328.15,3003558.261,2015
United States,0-18,Male,OtherPacific_Islander,10186421.09,6328667.479,2065125.499,3994667.99,355754.5166,760472.7384,633398.8873,705047.8499,2015
United States,0-18,Male,TwoOrMore_Races,170587608.5,105983469.6,34583767.62,66896985,5957667.725,12735309.54,10607258.47,11807132.8,2015
United States,0-18,Female,NonHispanic_White,4403955835,2736110339,892827952.6,1727038500,153805459.7,328779688.4,273841096.9,304817517.7,2015
United States,0-18,Female,AfricanAmerican,867187384.8,538770246.2,175807652.5,340072892.7,30285988.18,64740340.02,53922326.55,60021924.82,2015
United States,0-18,Female,Hispanic,1263179283,784793950,256088347.6,495363562.9,44115762.63,94303327.85,78545383.57,87430298.53,2015
United States,0-18,Female,Asian,383136309.9,238036723.8,77674440.87,150249271.9,13380800.91,28603247.01,23823687.45,26518580.86,2015
United States,0-18,Female,AmericanIndian,45433596.18,28227197.75,9210897.242,17817065.55,1586740.514,3391869.527,2825093.229,3144662.782,2015
United States,0-18,Female,OtherPacific_Islander,10664970.18,6625982.702,2162143.275,4182333.974,372467.5504,796199.0777,663155.409,738170.3768,2015
United States,0-18,Female,TwoOrMore_Races,178601664.1,110962479.6,36208482.56,70039746.43,6237553.707,13333603.17,11105578.13,12361821.49,2015
United States,19-64,Male,NonHispanic_White,10520153942,6541498768,2134575082,4129007540,367718439.9,786047220.5,654699911.9,728758408.7,2015
United States,19-64,Male,AfricanAmerican,2071534122,1288093119,420321332.1,813047038.7,72407808.83,154781350.9,128917619.9,143500553.2,2015
United States,19-64,Male,Hispanic,3017478151,1876287145,612256598.9,1184316323,105472064.8,225460608.9,187786480.1,209028554.9,2015
United States,19-64,Male,Asian,915234646.1,569098736,185704228.4,359216298.1,31990849,68384707.45,56957725.67,63400682.92,2015
United States,19-64,Male,AmericanIndian,108531612,67485648.03,22021433.9,42597080.49,3793582.799,8109289.314,6754239.263,7518266.87,2015
