State,Age Group,Gender,Race,Total Cost,IP Actual Cost,OP Actual Cost,Prescribed Drugs,Hospice Benefits,Federally Qualified Health Center,Rehabilative Services,Home Health Services,Year
United States,0-18,Male,NonHispanic_White,0,0,0,0,0,0,0,0,2015
United States,0-18,Male,AfricanAmerican,0,0,0,0,0,0,0,0,2015
United States,0-18,Male,Hispanic,0,0,0,0,0,0,0,0,2015
United States,0-18,Male,Asian,0,0,0,0,0,0,0,0,2015
United States,0-18,Male,AmericanIndian,0,0,0,0,0,0,0,0,2015
United States,0-18,Male,OtherPacific_Islander,0,0,0,0,0,0,0,0,2015
United States,0-18,Male,TwoOrMore_Races,0,0,0,0,0,0,0,0,2015
United States,0-18,Female,NonHispanic_White,0,0,0,0,0,0,0,0,2015
United States,0-18,Female,AfricanAmerican,0,0,0,0,0,0,0,0,2015
United States,0-18,Female,Hispanic,0,0,0,0,0,0,0,0,2015
United States,0-18,Female,Asian,0,0,0,0,0,0,0,0,2015
United States,0-18,Female,AmericanIndian,0,0,0,0,0,0,0,0,2015
United States,0-18,Female,OtherPacific_Islander,0,0,0,0,0,0,0,0,2015
United States,0-18,Female,TwoOrMore_Races,0,0,0,0,0,0,0,0,2015
United States,19-64,Male,NonHispanic_White,0,0,0,0,0,0,0,0,2015
United States,19-64,Male,AfricanAmerican,0,0,0,0,0,0,0,0,2015
United States,19-64,Male,Hispanic,0,0,0,0,0,0,0,0,2015
United States,19-64,Male,Asian,0,0,0,0,0,0,0,0,2015
United States,19-64,Male,AmericanIndian,0,0,0,0,0,0,0,0,2015
United States,19-64,Male,OtherPacific_Islander,0,0,0,0,0,0,0,0,2015
United States,19-64,Male,TwoOrMore_Races,0,0,0,0,0,0,0,0,2015
United States,19-64,Female,NonHispanic_White,0,0,0,0,0,0,0,0,2015
United States,19-64,Female,AfricanAmerican,0,0,0,0,0,0,0,0,2015
United States,19-64,Female,Hispanic,0,0,0,0,0,0,0,0,2015
United States,19-64,Female,Asian,0,0,0,0,0,0,0,0,2015
United States,19-64,Female,AmericanIndian,0,0,0,0,0,0,0,0,2015
United States,19-64,Female,OtherPacific_Islander,0,0,0,0,0,0,0,0,2015
United States,19-64,Female,TwoOrMore_Races,0,0,0,0,0,0,0,0,2015
United States,65+,Male,NonHispanic_White,1.00812E+11,32897388234,14251504937,4003532273,3135084589,450005586.8,2092895782,5114300190,2015
United States,65+,Male,AfricanAmerican,19850931608,6477857893,2806278209,788339577.3,617332668,88611053.9,412114219,1007062008,2015
United States,65+,Male,Hispanic,28915648438,9435902816,4087735313,1148326462,899231066.3,129074349.4,600301794.7,1466926165,2015
United States,65+,Male,Asian,8770437413,2862014154,1239855533,348300173.5,272746772.5,39149684.14,182078203.5,444935002.9,2015
United States,65+,Male,AmericanIndian,1040028057,339387293.7,147026252,41302609.6,32343232.43,4642501.622,21591447.63,52761893.69,2015
United States,65+,Male,OtherPacific_Islander,244133618,79666935.31,34512579.35,9695272.595,7592170.52,1089769.368,5068323.104,12385196.65,2015
United States,65+,Male,TwoOrMore_Races,4088400593,1334147867,577967307.6,162362556,127142811,18249898.42,84877024.94,207409556,2015
United States,65+,Female,NonHispanic_White,1.05548E+11,34442878554,14921028085,4191614692,3282368101,471146452.8,2191218182,5354565508,2015
United States,65+,Female,AfricanAmerican,20783510888,6782181950,2938114687,825375076.1,646334412.9,92773923.16,431474981.9,1054372894,2015
United States,65+,Female,Hispanic,30274080130,9879193219,4279773517,1202273828,941476149.7,135138148.6,628503444.2,1535841064,2015
United States,65+,Female,Asian,9182464837,2996469057,1298102854,364663008.8,285560175.6,40988901.82,190632077.1,465837657.4,2015
United States,65+,Female,AmericanIndian,1088887659,355331409.8,153933415.8,43242969.82,33862689,4860602.258,22605794.82,55240600.97,2015
United States,65+,Female,OtherPacific_Islander,255602800.3,83409617.75,36133949.93,10150747.96,7948844.003,1140965.772,5306428.458,12967042.27,2015
United States,65+,Female,TwoOrMore_Races,4280470052,1396824958,605119702.6,169990205.9,133115868.3,19107262.57,88864472.81,217153474.2,2015
Alabama,0-18,Male,NonHispanic_White,0,0,0,0,0,0,0,0,2015
Alabama,0-18,Male,AfricanAmerican,0,0,0,0,0,0,0,0,2015
Alabama,0-18,Male,Hispanic,0,0,0,0,0,0,0,0,2015
Alabama,0-18,Male,Asian,0,0,0,0,0,0,0,0,2015
Alabama,0-18,Male,AmericanIndian,0,0,0,0,0,0,0,0,2015
Alabama,0-18,Male,OtherPacific_Islander,0,0,0,0,0,0,0,0,2015
Alabama,0-18,Male,TwoOrMore_Races,0,0,0,0,0,0,0,0,2015
Alabama,0-18,Female,NonHispanic_White,0,0,0,0,0,0,0,0,2015
Alabama,0-18,Female,AfricanAmerican,0,0,0,0,0,0,0,0,2015
Alabama,0-18,Female,Hispanic,0,0,0,0,0,0,0,0,2015
