State,Age Group,Gender,Race,Poverty Rate,Year
United States,0-18,Male,NonHispanic_White,0.000864,2016
United States,0-18,Male,AfricanAmerican,0.002268,2016
United States,0-18,Male,Hispanic,0.001836,2016
United States,0-18,Male,Asian,0.00108,2016
United States,0-18,Male,AmericanIndian,0.002484,2016
United States,0-18,Male,OtherPacific_Islander,0.001512,2016
United States,0-18,Male,TwoOrMore_Races,0.001296,2016
United States,0-18,Female,NonHispanic_White,0.001056,2016
United States,0-18,Female,AfricanAmerican,0.002772,2016
United States,0-18,Female,Hispanic,0.002244,2016
United States,0-18,Female,Asian,0.00132,2016
United States,0-18,Female,AmericanIndian,0.003036,2016
United States,0-18,Female,OtherPacific_Islander,0.001848,2016
United States,0-18,Female,TwoOrMore_Races,0.001584,2016
United States,19-64,Male,NonHispanic_White,0.000864,2016
United States,19-64,Male,AfricanAmerican,0.002268,2016
United States,19-64,Male,Hispanic,0.001836,2016
United States,19-64,Male,Asian,0.00108,2016
United States,19-64,Male,AmericanIndian,0.002484,2016
United States,19-64,Male,OtherPacific_Islander,0.001512,2016
United States,19-64,Male,TwoOrMore_Races,0.001296,2016
United States,19-64,Female,NonHispanic_White,0.001056,2016
United States,19-64,Female,AfricanAmerican,0.002772,2016
United States,19-64,Female,Hispanic,0.002244,2016
United States,19-64,Female,Asian,0.00132,2016
United States,19-64,Female,AmericanIndian,0.003036,2016
United States,19-64,Female,OtherPacific_Islander,0.001848,2016
United States,19-64,Female,TwoOrMore_Races,0.001584,2016
United States,65+,Male,NonHispanic_White,0.000864,2016
United States,65+,Male,AfricanAmerican,0.002268,2016
United States,65+,Male,Hispanic,0.001836,2016
United States,65+,Male,Asian,0.00108,2016
United States,65+,Male,AmericanIndian,0.002484,2016
United States,65+,Male,OtherPacific_Islander,0.001512,2016
United States,65+,Male,TwoOrMore_Races,0.001296,2016
United States,65+,Female,NonHispanic_White,0.001056,2016
United States,65+,Female,AfricanAmerican,0.002772,2016
United States,65+,Female,Hispanic,0.002244,2016
United States,65+,Female,Asian,0.00132,2016
United States,65+,Female,AmericanIndian,0.003036,2016
